original_location_name,cleaned,station_n,station_s,sub_location,mumblies_yn,mud_yn,marsh_yn,tide_edge_yn,flying_yn
34th pullout on mumblies,34th St pullout (mumblies),34th St pullout,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout to CP corner,Coal Port corner to 34th St pullout,34th St pullout,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE
34th pullout to east end pilings,34th St pullout to East end pilings,Pilings,34th St pullout,,FALSE,FALSE,FALSE,FALSE,FALSE
34th pullout to marsh to west,34th St pullout (marsh),34th St pullout,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
34th pullout to mid pilings - inner mud,34th St pullout to Pilings (inner mud),Pilings,34th St pullout,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th pullout to mid pilings - on mumblies,34th St pullout to Pilings (mumblies),Pilings,34th St pullout,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout to mid pilings(mud close to dike),34th St pullout to Pilings (mud close to dike),Pilings,34th St pullout,mud close to dike,FALSE,TRUE,FALSE,FALSE,FALSE
34th pullout to pilings,Pilings to 34th St pullout,Pilings,34th St pullout,,FALSE,FALSE,FALSE,FALSE,FALSE
34th st pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
34th St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
34th street pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
34th Street pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
34th to Coal Port corner,Coal Port corner to 34th St pullout,34th St pullout,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE
34th to E end pilings (inner mud),34th St pullout to East end pilings (inner mud),Pilings,34th St pullout,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th to E end pilings (outer mud),34th St pullout to East end pilings (outer mud),Pilings,34th St pullout,outer mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th to E of E end pilings (inner mud),34th St pullout to Bend (inner mud),Bend,34th St pullout,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th to E of east end pilings (outer mud),34th St pullout to East end pilings (outer mud),Pilings,34th St pullout,outer mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th to east end pilings (inner mud),34th St pullout to East end pilings (inner mud),Pilings,34th St pullout,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th to east end pilings (outer mud),34th St pullout to East end pilings (outer mud),Pilings,34th St pullout,outer mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th to east end pilings marsh,34th St pullout to East end pilings (marsh),Pilings,34th St pullout,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
34th to view corner (outer mud),34th St pullout to View corner (outer mud),View corner,34th St pullout,outer mud,FALSE,TRUE,FALSE,FALSE,FALSE
35th St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
36th St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
37th St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
38th St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
39th St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
40th St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
41st St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
80th,80th,80th,,,FALSE,FALSE,FALSE,FALSE,FALSE
88th,88th,88th,,,FALSE,FALSE,FALSE,FALSE,FALSE
96th,96th,96th,,,FALSE,FALSE,FALSE,FALSE,FALSE
along dike,Brunswick dike,Brunswick dike,,,FALSE,FALSE,FALSE,FALSE,FALSE
along from CP corner to 34th marsh,Coal Port corner to 34th St pullout (marsh),34th St pullout,Coal Port,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
along outer edge of mumblies,(outer mumblies),,,outer mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
along to pilings,Pilings,Pilings,,,FALSE,FALSE,FALSE,FALSE,FALSE
around BP tip,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,FALSE,FALSE,TRUE,FALSE,FALSE
around marsh tip of Bruns Pt,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,FALSE,FALSE,TRUE,FALSE,FALSE
at banding marsh,Banding marsh,Coal Port,,,FALSE,FALSE,FALSE,FALSE,FALSE
at marsh spit,at marsh spit,,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
banding marsh,Banding marsh,Coal Port,,,FALSE,FALSE,FALSE,FALSE,FALSE
banding site,Banding site,Coal Port,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
before CP corner,Coal Port corner,Coal Port,,,FALSE,FALSE,FALSE,FALSE,FALSE
before marsh,before marsh,,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
before marsh at footbridge,before marsh at footbridge,,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
before pilings,Pilings,Pilings,,,FALSE,FALSE,FALSE,FALSE,FALSE
bend - on mumblies,Bend (mumblies),Bend,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
bend ( on mumblies to eagle log),Bend (mumblies),Bend,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
bend (E of E end pilings)-on mumblies,Bend (mumblies),Bend,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
bend and pilings,Pilings to Bend,Pilings,Bend,,FALSE,FALSE,FALSE,FALSE,FALSE
bend edge,Bend,Bend,,,FALSE,FALSE,FALSE,FALSE,FALSE
bend in road (outer and inner mud) (count 1),Bend (inner mud - outer mud),Bend,,inner mud - outer mud,FALSE,TRUE,FALSE,FALSE,FALSE
bend to eagle log - outer mumblies and beyond,Bend (outer mumblies - beyond mumblies),Bend,,outer mumblies - beyond mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
bend viewpoint,Bend,Bend,,,FALSE,FALSE,FALSE,FALSE,FALSE
bend viewpoint ( inner mud),Bend (inner mud),Bend,,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
bend viewpoint (east of east end pilings),Bend,Bend,,,FALSE,FALSE,FALSE,FALSE,FALSE
bend viewpoint (inner mud),Bend (inner mud),Bend,,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
bend viewpoint (on mumblies),Bend (mumblies),Bend,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
beyond CP jetty sidemarsh,Coal Port jetty side marsh,Coal Port,,,FALSE,FALSE,FALSE,FALSE,FALSE
beyond mumblies,(beyond mumblies),,,beyond mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
BP (mud bar),Brunswick Point (mud bar),Brunswick Point,,mud bar,FALSE,TRUE,FALSE,FALSE,FALSE
BP corner down to pilings,Pilings to Brunswick Point,Brunswick Point,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE
BP corner field,Brunswick Point (field),Brunswick Point,,field,FALSE,FALSE,FALSE,FALSE,FALSE
BP corner mud roost,Brunswick Point (mud roost),Brunswick Point,,mud roost,FALSE,TRUE,FALSE,FALSE,FALSE
BP corner to pilings,Pilings to Brunswick Point,Brunswick Point,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE
BP corner to pilings - mid mud,Brunswick Point to Pilings (mid mud),Brunswick Point,Pilings,mid mud,FALSE,TRUE,FALSE,FALSE,FALSE
BP corner; edge of mumblies,Brunswick Point (mumblies),Brunswick Point,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
BP marsh tip; mudroost to view corner,Brunswick Point to View corner (marsh tip - mud roost),Brunswick Point,View corner,mud roost - marsh tip,FALSE,TRUE,TRUE,FALSE,FALSE
BP mudislet (west end mumblies),Brunswick Point (mud islet - west end mumblies),Brunswick Point,,west end mumblies - mud islet,TRUE,TRUE,FALSE,FALSE,FALSE
BP mudroost,Brunswick Point (mud roost),Brunswick Point,,mud roost,FALSE,TRUE,FALSE,FALSE,FALSE
BP mudroost & inner mud of BP corner,Brunswick Point (inner mud - mud roost),Brunswick Point,,mud roost - inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
BP mudroost to view corner,Brunswick Point to View corner (mud roost),Brunswick Point,View corner,mud roost,FALSE,TRUE,FALSE,FALSE,FALSE
BP mudroost view (BP corner to west end pilings),Brunswick Point to West end pilings (mud roost),Brunswick Point,Pilings,mud roost,FALSE,TRUE,FALSE,FALSE,FALSE
BP mudroost view point,Brunswick Point (mud roost),Brunswick Point,,mud roost,FALSE,TRUE,FALSE,FALSE,FALSE
BP mudroost view point (inner mud near view corner),Brunswick Point to View corner (mud roost - inner mud),Brunswick Point,View corner,mud roost - inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
BP mudroost view point (tide edge BP& mumblies),Brunswick Point (mud roost - tide edge - mumblies),Brunswick Point,,mud roost - tide edge - mumblies,TRUE,TRUE,FALSE,TRUE,FALSE
BP mudroost viewpoint,Brunswick Point (mud roost),Brunswick Point,,mud roost,FALSE,TRUE,FALSE,FALSE,FALSE
BP mudroost viewpoint  (inner mud thru corner marsh),Brunswick Point (mud roost - tide edge - marsh),Brunswick Point,,mud roost - tide edge - marsh,FALSE,TRUE,TRUE,TRUE,FALSE
BP mudroost viewpoint  (mudroost),Brunswick Point (mud roost),Brunswick Point,,mud roost,FALSE,TRUE,FALSE,FALSE,FALSE
BP mudroost viewpoint -,Brunswick Point,Brunswick Point,,,FALSE,FALSE,FALSE,FALSE,FALSE
BP mudroost viewpoint - off tip of BP,Brunswick Point (mud roost - marsh tip),Brunswick Point,,mud roost - marsh tip,FALSE,TRUE,TRUE,FALSE,FALSE
BP mudroost viewpoint (BP inner mud),Brunswick Point (inner mud),Brunswick Point,,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
BP mudroost viewpoint (inner mud),Brunswick Point (inner mud),Brunswick Point,,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
BP mudroost viewpoint (marsh corner),Brunswick Point (mud roost - marsh tip),Brunswick Point,,mud roost - marsh tip,FALSE,TRUE,TRUE,FALSE,FALSE
BP mudroost viewpoint (marshedge to tideline to pilings),Brunswick Point to Pilings (mud roost - tide edge),Brunswick Point,Pilings,mud roost - tide edge,FALSE,TRUE,FALSE,TRUE,FALSE
BP mudroost viewpoint (mumblies off pilings),Brunswick Point to Pilings (mud roost - mumblies),Brunswick Point,Pilings,mud roost - mumblies,TRUE,TRUE,FALSE,FALSE,FALSE
BP mudroost viewpoint (on mumblie ridge),Brunswick Point (mud roost - mumblies),Brunswick Point,,mud roost - mumblies,TRUE,TRUE,FALSE,FALSE,FALSE
BP mudroost viewpoint (on west end mumblies),Brunswick Point (mud roost - west end mumblies),Brunswick Point,,mud roost - west end mumblies,TRUE,TRUE,FALSE,FALSE,FALSE
BP mudroost viewpoint (outer tide line off BP marsh tip),Brunswick Point (mud roost - tide edge - marsh tip),Brunswick Point,,mud roost - tide edge - marsh tip,FALSE,TRUE,TRUE,TRUE,FALSE
BP mudroost viewpoint (outer tide line off mumblies),Brunswick Point (mud roost - tide edge - mumblies),Brunswick Point,,mud roost - tide edge - mumblies,TRUE,TRUE,FALSE,TRUE,FALSE
BP mudroost viewpoint (tideline to pilings),Brunswick Point (mud roost - tide edge),Brunswick Point,,mud roost - tide edge,FALSE,TRUE,FALSE,TRUE,FALSE
BP mudroost viewpoint (w. end mumblies-tideedge),Brunswick Point (mud roost - tide edge - west end mumblies),Brunswick Point,,mud roost - tide edge - west end mumblies,TRUE,TRUE,FALSE,TRUE,FALSE
BP mudroost viewpoint (west end mumblies),Brunswick Point (mud roost - west end mumblies),Brunswick Point,,mud roost - west end mumblies,TRUE,TRUE,FALSE,FALSE,FALSE
Bruns corner,Brunswick Point,Brunswick Point,,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns corner (flying),Brunswick Point (flying),Brunswick Point,,flying,FALSE,FALSE,FALSE,FALSE,TRUE
Bruns corner and outer edge mud,Brunswick Point (outer mud),Brunswick Point,,outer mud,FALSE,TRUE,FALSE,FALSE,FALSE
Bruns corner and tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
Bruns corner and west end mumblies,Brunswick Point (west end mumblies),Brunswick Point,,west end mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
Bruns corner at tide edge (flock 1),Brunswick Point (tide edge),Brunswick Point,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
Bruns corner at tide edge (flock 2),Brunswick Point (tide edge),Brunswick Point,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
Bruns corner far edge water,Brunswick Point (tide edge),Brunswick Point,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
Bruns corner mudroost,Brunswick Point (mud roost),Brunswick Point,,mud roost,FALSE,TRUE,FALSE,FALSE,FALSE
Bruns corner near tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
Bruns corner tideline,Brunswick Point (tide edge),Brunswick Point,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
Bruns corner to E end pilings,Brunswick Point to East end pilings,Brunswick Point,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns corner to far pilings tide edge,Brunswick Point to Pilings (tide edge),Brunswick Point,Pilings,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
Bruns corner to pilings at tide edge,Brunswick Point to Pilings (tide edge),Brunswick Point,Pilings,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
Bruns corner to pilings inner mud,Brunswick Point to Pilings (inner mud),Brunswick Point,Pilings,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
Bruns corner to pilings tide edge,Brunswick Point to Pilings (tide edge),Brunswick Point,Pilings,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
Bruns corner to pilings-mumblies and tide edge,Brunswick Point to Pilings (tide edge - mumblies),Brunswick Point,Pilings,mumblies - tide edge,TRUE,FALSE,FALSE,TRUE,FALSE
Bruns corner to W end mumblies (inner & mid mud),Brunswick Point (inner mud - mid mud - west end mumblies),Brunswick Point,,inner mud - mid mud - west end mumblies,TRUE,TRUE,FALSE,FALSE,FALSE
Bruns corner to W of W end pilings,View corner to Brunswick Point,Brunswick Point,View corner,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns corner to west end mumblies,Brunswick Point (west end mumblies),Brunswick Point,,west end mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
Bruns corner to west end pilings,Brunswick Point to West end pilings,Brunswick Point,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE
"Bruns corner, middle distance",Brunswick Point (mid mud),Brunswick Point,,mid mud,FALSE,TRUE,FALSE,FALSE,FALSE
"Bruns corner, near point marshedge",Brunswick Point (marsh),Brunswick Point,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
Bruns dike,Brunswick dike,Brunswick dike,,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns Point corner,Brunswick Point,Brunswick Point,,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns Point corner - mid mud,Brunswick Point (mid mud),Brunswick Point,,mid mud,FALSE,TRUE,FALSE,FALSE,FALSE
Bruns Point corner - tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
Bruns Point corner - tide edge to marsh tip,Brunswick Point (marsh tip - tide edge),Brunswick Point,,marsh tip - tide edge,FALSE,FALSE,TRUE,TRUE,FALSE
Bruns Point corner marsh edge,Brunswick Point (marsh),Brunswick Point,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
Bruns Point marsh end,Brunswick Point (marsh),Brunswick Point,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
Bruns Point marsh tip,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,FALSE,FALSE,TRUE,FALSE,FALSE
Bruns Point marsh tip&in air Canoe Pass,Brunswick Point to Canoe Pass (marsh tip),Canoe Pass,Brunswick Point,marsh tip,FALSE,FALSE,TRUE,FALSE,FALSE
Bruns Point mudroost,Brunswick Point (mud roost),Brunswick Point,,mud roost,FALSE,TRUE,FALSE,FALSE,FALSE
Bruns Point to west end pilings,Brunswick Point to West end pilings,Brunswick Point,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns Pt  corner,Brunswick Point,Brunswick Point,,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns Pt  corner - far water edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
Bruns Pt  corner - mid-inner mud,Brunswick Point (inner mud - mid mud),Brunswick Point,,inner mud - mid mud,FALSE,TRUE,FALSE,FALSE,FALSE
Bruns Pt  corner - outer mud,Brunswick Point (outer mud),Brunswick Point,,outer mud,FALSE,TRUE,FALSE,FALSE,FALSE
Bruns Pt corner - along edge of marsh,Brunswick Point (marsh),Brunswick Point,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
Bruns Pt corner - inner mud,Brunswick Point (inner mud),Brunswick Point,,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
Bruns Pt corner - roosting at marsh tip,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,FALSE,FALSE,TRUE,FALSE,FALSE
Bruns Pt corner and edge of marsh,Brunswick Point (marsh),Brunswick Point,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
Bruns Pt corner area,Brunswick Point,Brunswick Point,,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns Pt corner marsh tip -west end mumblies,Brunswick Point (marsh tip - west end mumblies),Brunswick Point,,marsh tip - west end mumblies,TRUE,FALSE,TRUE,FALSE,FALSE
Bruns Pt corner outer mud,Brunswick Point (outer mud),Brunswick Point,,outer mud,FALSE,TRUE,FALSE,FALSE,FALSE
Bruns Pt corner to mid pilings (mid mud to tide line),Brunswick Point to Pilings (mid mud - tide edge),Brunswick Point,Pilings,mid mud - tide edge,FALSE,TRUE,FALSE,TRUE,FALSE
Bruns Pt corner to west end mumblies,Brunswick Point (west end mumblies),Brunswick Point,,west end mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
Bruns Pt corner-west end mumblies - tide edge,Brunswick Point (west end mumblies - tide edge),Brunswick Point,,west end mumblies - tide edge,TRUE,FALSE,FALSE,TRUE,FALSE
Bruns Pt corner-west end mumblies (mid-far mud),Brunswick Point (west end mumblies - mid mud - outer mud),Brunswick Point,,west end mumblies - mid mud - outer mud,TRUE,TRUE,FALSE,FALSE,FALSE
"Bruns Pt corner, water edge",Brunswick Point (tide edge),Brunswick Point,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
Bruns Pt marsh tip -west end mumblies - tide edge,Brunswick Point (marsh tip - west end mumblies - tide edge),Brunswick Point,,marsh tip - west end mumblies - tide edge,TRUE,FALSE,TRUE,TRUE,FALSE
Bruns Pt to east end pilings,Brunswick Point to East end pilings,Brunswick Point,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns Pt to view corner,View corner to Brunswick Point,Brunswick Point,View corner,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns Pt. corner,Brunswick Point,Brunswick Point,,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns Pt. corner - inner mud,Brunswick Point (inner mud),Brunswick Point,,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
Bruns Pt. corner - outer mud - tide edge,Brunswick Point (outer mud - tide edge),Brunswick Point,,outer mud - tide edge,FALSE,TRUE,FALSE,TRUE,FALSE
Bruns Pt. corner (tide edge),Brunswick Point (tide edge),Brunswick Point,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
"Bruns Pt. corner, near mud roost",Brunswick Point (mud roost),Brunswick Point,,mud roost,FALSE,TRUE,FALSE,FALSE,FALSE
Bruns. corner,Brunswick Point,Brunswick Point,,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns. Corner,Brunswick Point,Brunswick Point,,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns. corner (mumblies),Brunswick Point (mumblies),Brunswick Point,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
Bruns. Corner at tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
Bruns. Corner-west end mumblies,Brunswick Point (west end mumblies),Brunswick Point,,west end mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
Bruns. dike,Brunswick dike,Brunswick dike,,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns. dike (fly),Brunswick dike (flying),Brunswick dike,,flying,FALSE,FALSE,FALSE,FALSE,TRUE
Bruns. point,Brunswick Point,Brunswick Point,,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns. Pt. Corner,Brunswick Point,Brunswick Point,,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns. Pt. end,Brunswick Point,Brunswick Point,,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns.corner,Brunswick Point,Brunswick Point,,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns.corner - near shore,Brunswick Point,Brunswick Point,,,FALSE,FALSE,FALSE,FALSE,FALSE
Bruns.corner - tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
Bruns.corner - tide edge beyond mumblies,Brunswick Point (tide edge - beyond mumblies),Brunswick Point,,tide edge - beyond mumblies,TRUE,FALSE,FALSE,TRUE,FALSE
Bruns.corner - west end mumblies,Brunswick Point (west end mumblies),Brunswick Point,,west end mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
Bruns.corner (close to marsh),Brunswick Point (marsh),Brunswick Point,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
Bruns.corner (in air circling),Brunswick Point (flying),Brunswick Point,,flying,FALSE,FALSE,FALSE,FALSE,TRUE
Bruns.corner (on mud roost),Brunswick Point (mud roost),Brunswick Point,,mud roost,FALSE,TRUE,FALSE,FALSE,FALSE
Bruns.corner (outer tide edge),Brunswick Point (tide edge),Brunswick Point,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
