"year","survey_date","julian_day","dos","start_time","n_s","station_n","station_s","final_count","wesa_count","dunl_count","log_wesa","log_dunl","p_wesa","predicted_p_wesa","raptor_count","elev_min","elev_max","elev_median","elev_mean","elev_range","flow","total_precip","mean_temp","u","v","windspd","wind_deg"
"1997",1997-04-21,111,-0.980946821296709,"17:35","N","Brunswick Point",,13930,3481,10449,8.15536212032814,9.25435725739296,60,0.249904539976651,1,1.6,4.13,3.17,3.05666666666667,2.53,3430,0,8.3,2.95201902033781,-6.8943999880708,12.4583333333333,-37.8884644501964
"1997",1997-04-21,111,-0.980946821296709,"18:05","S","Coal Port",,0,0,0,0,0,60,0.249904539976651,1,1.6,4.13,3.17,3.05666666666667,2.53,3430,0,8.3,2.95201902033781,-6.8943999880708,12.4583333333333,-37.8884644501964
"1997",1997-04-21,111,-0.980946821296709,"18:05","S","Coal Port",,0,0,0,0,0,60,0.249904539976651,1,1.6,4.13,3.17,3.05666666666667,2.53,3430,0,8.3,2.95201902033781,-6.8943999880708,12.4583333333333,-37.8884644501964
"1997",1997-04-21,111,-0.980946821296709,"17:50","N","Pilings",,100,25,75,3.25809653802148,4.33073334028633,60,0.249904539976651,1,1.6,4.13,3.17,3.05666666666667,2.53,3430,0,8.3,2.95201902033781,-6.8943999880708,12.4583333333333,-37.8884644501964
"1997",1997-04-22,112,-0.840470339963547,"17:05","N","Brunswick Point",,13000,5328,7672,8.58091888229678,8.94546295217767,52.317880794702,0.409878293547207,,1.42,4.28,3.235,3.10916666666667,2.86,3670,5.6,10.7,-2.32578365647489,3.96316337357498,11.1666666666667,147.327558326297
"1997",1997-04-22,112,-0.840470339963547,"17:25","S","Coal Port",,0,0,0,0,0,52.317880794702,0.409878293547207,,1.42,4.28,3.235,3.10916666666667,2.86,3670,5.6,10.7,-2.32578365647489,3.96316337357498,11.1666666666667,147.327558326297
"1997",1997-04-22,112,-0.840470339963547,"17:25","S","Coal Port",,0,0,0,0,0,52.317880794702,0.409878293547207,,1.42,4.28,3.235,3.10916666666667,2.86,3670,5.6,10.7,-2.32578365647489,3.96316337357498,11.1666666666667,147.327558326297
"1997",1997-04-22,112,-0.840470339963547,"00:00","N","Pilings",,0,0,0,0,0,52.317880794702,0.409878293547207,,1.42,4.28,3.235,3.10916666666667,2.86,3670,5.6,10.7,-2.32578365647489,3.96316337357498,11.1666666666667,147.327558326297
"1997",1997-04-25,115,-0.419040895964063,"09:30","N","Brunswick Point",,53700,43281,10419,10.6754921231736,9.25148231530736,70.5831903945111,0.805976512462038,,0.89,4.34,3.155,3.00375,3.45,4160,3.4,12.7,-1.04188906600158,7,9.25,92.4550131267427
"1997",1997-04-25,115,-0.419040895964063,"09:00","S","Coal Port",,21500,17328,4172,9.76013667764025,8.33639048059155,70.5831903945111,0.805976512462038,,0.89,4.34,3.155,3.00375,3.45,4160,3.4,12.7,-1.04188906600158,7,9.25,92.4550131267427
"1997",1997-04-25,115,-0.419040895964063,"09:00","S","Coal Port",,32500,26194,6306,10.1733238318423,8.74941540666365,70.5831903945111,0.805976512462038,,0.89,4.34,3.155,3.00375,3.45,4160,3.4,12.7,-1.04188906600158,7,9.25,92.4550131267427
"1997",1997-04-25,115,-0.419040895964063,"09:15","N","Pilings",,22400,18054,4346,9.80117793371156,8.37724123098879,70.5831903945111,0.805976512462038,,0.89,4.34,3.155,3.00375,3.45,4160,3.4,12.7,-1.04188906600158,7,9.25,92.4550131267427
"1997",1997-04-26,116,-0.278564414630902,"10:20","N","Brunswick Point",,0,0,0,0,0,84.5771144278607,0.867816025062828,,1.05,4.48,3.29,3.08166666666667,3.43,4260,8,15.3,-3.5,2,10.8333333333333,164.205710586375
"1997",1997-04-26,116,-0.278564414630902,"10:00","S","Coal Port",,0,0,0,0,0,84.5771144278607,0.867816025062828,,1.05,4.48,3.29,3.08166666666667,3.43,4260,8,15.3,-3.5,2,10.8333333333333,164.205710586375
"1997",1997-04-26,116,-0.278564414630902,"10:00","S","Coal Port",,8500,7376,1124,8.9061223308843,7.02553831463852,84.5771144278607,0.867816025062828,,1.05,4.48,3.29,3.08166666666667,3.43,4260,8,15.3,-3.5,2,10.8333333333333,164.205710586375
"1997",1997-04-26,116,-0.278564414630902,"10:10","N","Pilings",,118700,103010,15690,11.542591057626,9.66084257855907,84.5771144278607,0.867816025062828,,1.05,4.48,3.29,3.08166666666667,3.43,4260,8,15.3,-3.5,2,10.8333333333333,164.205710586375
"1997",1997-04-28,118,0.00238854803542126,"09:40","N","Brunswick Point",,27500,25580,1920,10.1496051674102,7.56060116276856,91.1455956184391,0.930182550576701,,1.18,4.51,3.385,3.05708333333333,3.33,4810,5.2,9.5,-2.25742630967009,12.8025007891587,13.5,105.239185686203
"1997",1997-04-28,118,0.00238854803542126,"10:05","S","Coal Port",,64500,59997,4503,11.0020665073153,8.41272116981953,91.1455956184391,0.930182550576701,,1.18,4.51,3.385,3.05708333333333,3.33,4810,5.2,9.5,-2.25742630967009,12.8025007891587,13.5,105.239185686203
"1997",1997-04-28,118,0.00238854803542126,"09:50","N","Pilings",,5100,4744,356,8.46484671104403,5.87773578177964,91.1455956184391,0.930182550576701,,1.18,4.51,3.385,3.05708333333333,3.33,4810,5.2,9.5,-2.25742630967009,12.8025007891587,13.5,105.239185686203
"1997",1997-04-29,119,0.142865029368583,"11:30","N","Brunswick Point",,84500,79833,4667,11.2877047578608,8.44848599340645,99.0008326394671,0.944773331658958,1,1.28,4.43,3.29,3.0525,3.15,5240,1,9.4,-2.60472266500395,-6.28108891324553,9.25,-145.366357083291
"1997",1997-04-29,119,0.142865029368583,"10:58","S","Coal Port",,4700,4440,260,8.3986348552921,5.56452040732269,99.0008326394671,0.944773331658958,1,1.28,4.43,3.29,3.0525,3.15,5240,1,9.4,-2.60472266500395,-6.28108891324553,9.25,-145.366357083291
"1997",1997-04-29,119,0.142865029368583,"11:18","N","Pilings",,2000,1890,110,7.54486106865846,4.70953020131233,99.0008326394671,0.944773331658958,1,1.28,4.43,3.29,3.0525,3.15,5240,1,9.4,-2.60472266500395,-6.28108891324553,9.25,-145.366357083291
"1997",1997-04-30,120,0.283341510701744,"11:50","N","Brunswick Point",,33000,31465,1535,10.3566628768004,7.33693691370762,96.25,0.953481300813511,,1.64,4.52,3.16,3.1175,2.88,5840,9.6,7.9,0.781416799501187,7.93163488855494,13.9583333333333,66.2760770194265
"1997",1997-04-30,120,0.283341510701744,"11:45","S","Coal Port",,2600,2479,121,7.81601383915903,4.80402104473326,96.25,0.953481300813511,,1.64,4.52,3.16,3.1175,2.88,5840,9.6,7.9,0.781416799501187,7.93163488855494,13.9583333333333,66.2760770194265
"1997",1997-04-30,120,0.283341510701744,"10:30","S","Coal Port",,17000,16209,791,9.69338361472972,6.67456139181443,96.25,0.953481300813511,,1.64,4.52,3.16,3.1175,2.88,5840,9.6,7.9,0.781416799501187,7.93163488855494,13.9583333333333,66.2760770194265
"1997",1997-05-01,121,0.423817992034905,"14:00","N","Brunswick Point",,177000,169599,7401,12.0411980023399,8.9095055129461,99.889012208657,0.958185410813259,,1.68,4.5,3.04,3.0125,2.82,6130,1.2,10.3,-6.0620016557794e-15,-14.0953893117886,16.9166666666667,-102.220702069111
"1997",1997-05-02,122,0.564294473368067,"16:20","N","Brunswick Point",,101400,97329,4071,11.4858625454205,8.31188955823036,99.0938166311301,0.959847538893874,,2.04,4.45,3.025,3.08625,2.41,6130,0,11.1,-3.76222157658236,12.8964409229626,15.9583333333333,121.010328041326
"1997",1997-05-02,122,0.564294473368067,"16:10","S","Coal Port",,15000,14398,602,9.57491403870827,6.40191719672719,99.0938166311301,0.959847538893874,,2.04,4.45,3.025,3.08625,2.41,6130,0,11.1,-3.76222157658236,12.8964409229626,15.9583333333333,121.010328041326
"1997",1997-05-03,123,0.704770954701228,"15:00","N","Brunswick Point",,22000,21094,906,9.95679132455844,6.81014245011514,96.7741935483871,0.958796262066375,,1.94,4.67,3.075,3.16875,2.73,6020,1.3,12.4,-15,9.95857776054672,16.3333333333333,144.131300204963
"1997",1997-05-03,123,0.704770954701228,"15:00","N","Brunswick Point",,15000,14382,618,9.57380223260389,6.4281052726846,96.7741935483871,0.958796262066375,,1.94,4.67,3.075,3.16875,2.73,6020,1.3,12.4,-15,9.95857776054672,16.3333333333333,144.131300204963
"1997",1997-05-03,123,0.704770954701228,"14:42","S","Coal Port",,19700,18888,812,9.84633502103182,6.70073110954781,96.7741935483871,0.958796262066375,,1.94,4.67,3.075,3.16875,2.73,6020,1.3,12.4,-15,9.95857776054672,16.3333333333333,144.131300204963
