station_n,station,latitude,longitude,n_s
0,Brunswick Point,49.06241,-123.150712,N
1,View corner,49.059876,-123.145105,N
2,Pilings pullout,49.05789,-123.140186,N
3,Bend,49.055724,-123.1358,N
4,34th St Pullout,49.053943,-123.13069,S
5,Coal Port,49.051797,-123.124625,S
6,Coal Port side marsh,49.048826,-123.127087,S
